Nom,Prix,Unité,Réduction
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Pommes de terre Bio CARREFOUR BIO,2,72cL,prime bio
Thym de Provence DUCROS,1,Quantité non disponible,promo : 20%
Mélange à l'orientale zaatar DUCROS,2,Quantité non disponible,1 acheté = 25% de remise
Vinaigrette bio pomme CARREFOUR BIO,3,Quantité non disponible,prime bio
Févettes LEGUMOR,1,1Kg,1 acheté = 25% de remise
Pâtes Risone n°14 SAMIA,1,Quantité non disponible,1 acheté = 10% de remise
Pâtes Grana Di Riso n°13 SAMIA,1,Quantité non disponible,1 acheté = 10% de remise
Pâtes Piombi n°12 SAMIA,1,Quantité non disponible,1 acheté = 10% de remise
Sauce harissa SAMIA,1,Quantité non disponible,1 acheté = 15% de remise
Pâtes Capellini CARREFOUR CLASSIC',1,1Kg,le 2ème à -30%
Couscous bio semi-complet CARREFOUR BIO,2,Quantité non disponible,prime bio
Salade au thon catalane CARREFOUR,2,250g,prenez en 6 = payez en 4
Pois chiches Bio CARREFOUR BIO,2,Quantité non disponible,prime bio
Vinaigre de cidre CARREFOUR BIO,1,Quantité non disponible,prime bio
Sauce worcestershire LEA & PERRINS,2,150mL,1 acheté = 10% de remise
Purée de tomate Bio CARREFOUR BIO,1,Quantité non disponible,prime bio
Sel de Guérande IGP DUCROS,1,Quantité non disponible,1 acheté = 25% de remise
Coeurs de palmiers tendres - selection d'ailleurs D'AUCY,4,220g,1 acheté = 15% de remise
Haricots verts Bien cultivés D'AUCY,1,290g,1 acheté = 25% de remise
Baies roses entières DUCROS,2,20g,1 acheté = 25% de remise
Clous de girofle moulus DUCROS,1,Quantité non disponible,promo : 20%
Epices pour poisson DUCROS,2,Quantité non disponible,1 acheté = 25% de remise
Mélange à la Chinoise DUCROS,2,Quantité non disponible,1 acheté = 25% de remise
Mélange harissa DUCROS,2,Quantité non disponible,1 acheté = 25% de remise
Échalote DUCROS,2,Quantité non disponible,promo : 20%
Piments concassés DUCROS,1,Quantité non disponible,1 acheté = 15% de remise
Sauce aux poivrons et aubergines PIETRO CASTELLI,2,Quantité non disponible,le 2ème à -60%
Pâté de campagne au piment d'Espelette Label Rouge MERE LALIE,2,Quantité non disponible,1 acheté = 25% de remise
Sauce PIETRO CASTELLI,2,Quantité non disponible,le 2ème à -60%
Biscuits apéritifs tarrali aux ognon PUGLIA SAPORI,1,250g,1 acheté = 25% de remise
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Assaisonnement Italienne pour salade DUCROS,3,Quantité non disponible,1 acheté = 25% de remise
Nouilles crevettes YUM YUM,1,Quantité non disponible,1 acheté = 15% de remise
Poivre DUCROS,3,Quantité non disponible,1 acheté = 15% de remise
Mélange pour salade croûtons basilic et ail DUCROS,1,18g,1 acheté = 25% de remise
Cardamome moulue DUCROS,2,Quantité non disponible,promo : 20%
Curry intense DUCROS,2,Quantité non disponible,1 acheté = 25% de remise
5 baies moulues force 3 DUCROS,2,Quantité non disponible,promo : 20%
Ail émincé DUCROS,3,40g,1 acheté = 10% de remise
Poivre noir grains force 6 DUCROS,2,Quantité non disponible,1 acheté = 15% de remise
Menthe DUCROS,1,Quantité non disponible,1 acheté = 25% de remise
"Soupe mouliné pommes de terre, poireaux, lentilles 100% ingrédients naturels LIEBIG",2,2x30cL,1 acheté = 10% de remise
Sardines à l'ancienne à l'huile d'olive vierge extra Label Rouge CONNETABLE,2,135g,1 acheté = 10% de remise
Chips Banana CARREFOUR BIO,1,Quantité non disponible,prime bio
Curry bio CARREFOUR BIO,1,31g,prime bio
Sauce tomate provençale Bio CARREFOUR BIO,1,190g,prime bio
Pulpe de tomates au basilic Bio CARREFOUR BIO,2,Quantité non disponible,prime bio
Plat cuisiné légumes et quinoa Bio CARREFOUR BIO,2,350g,prime bio
Cornichons au vinaigre Bio CARREFOUR BIO,2,Quantité non disponible,prime bio
Noisettes décortiquées et grillées Bio CARREFOUR BIO,2,Quantité non disponible,prime bio
Lentilles corail Bio CARREFOUR BIO,2,Quantité non disponible,prime bio
Vinaigre de vin rouge Bio CARREFOUR BIO,1,Quantité non disponible,prime bio
Plat cuisiné poulet quinoa Bio CARREFOUR BIO,4,300g,prime bio
Plat cuisiné filet de truite et fondue de p CARREFOUR BIO,3,300g,prime bio
Mix apéritif sans sel ajouté CARREFOUR BIO,2,Quantité non disponible,prime bio
Soupe mouliné de légumes Bio CARREFOUR BIO,2,2x30cL,prime bio
Mini-crackers emmental sésame lin Bio CARREFOUR BIO,2,Quantité non disponible,prime bio
Sauce tomate Bolognaise Veggie CARREFOUR BIO,1,Quantité non disponible,prime bio
Pâté au piment d'Espelette CARREFOUR BIO,2,Quantité non disponible,prime bio
Mélange boulgour millet quinoa CARREFOUR BIO,2,Quantité non disponible,prime bio
Flageolets bio CARREFOUR BIO,4,420g,prime bio
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Soupe de légumes Bio CARREFOUR BIO,1,2x30cL,prime bio
Nouilles Soja caramel TANOSHI,2,360g,1 acheté = 10% de remise
Mix Doux tanoshi TANOSHI,2,60g,1 acheté = 15% de remise
Sardines à l'huile de tournesol infusée au basilic citron CONNETABLE,2,Quantité non disponible,1 acheté = 10% de remise
Ramen nature bio TANOSHI,2,340g,promo : 20%
Gingembre Lamelles tanoshi TANOSHI,3,100g,promo : 20%
Riz Sushi Japonica TANOSHI,2,450g,promo : 20%
Nouilles Ramen bœuf TANOSHI,2,360g,1 acheté = 10% de remise
Nouilles Saveur poulet teriyaki TANOSHI,2,360g,1 acheté = 10% de remise
Wasabi moutarde japonaise TANOSHI,2,43g,promo : 20%
Sauce Soja sucrée TANOSHI,4,200mL,1 acheté = 15% de remise
Nouilles Patate douce TANOSHI,2,210g,1 acheté = 25% de remise
Sauce Piment Et sésame TANOSHI,2,225mL,1 acheté = 25% de remise
Nouilles Ramen kimchi TANOSHI,3,360g,promo : 20%
Sauce Japchae TANOSHI,3,225mL,promo : 20%
Sardines à l'huile de tournesol infusé herbes de Provence CONNETABLE,2,Quantité non disponible,1 acheté = 10% de remise
Nouilles Bœuf ramen TANOSHI,3,366g,promo : 20%
Kimchi Fermenté épicé TANOSHI,3,330g,1 acheté = 15% de remise
Nouille Blé curry TANOSHI,0,85g,promo : 20%
Sel marin légumes/herbes aromatiques HERBAMARE,3,Quantité non disponible,promo : 20%
Noix de cajou grillées salées CARREFOUR CLASSIC',1,Quantité non disponible,prenez en 4 = payez en 3
Salade mexicaine CARREFOUR CLASSIC',2,250g,prenez en 6 = payez en 4
Salade au thon italienne CARREFOUR,2,250g,prenez en 6 = payez en 4
Salade à la piémontaise CARREFOUR CLASSIC',2,250g,prenez en 6 = payez en 4
Plat cuisiné saucisse de Toulouse/lentilles LA BELLE CHAURIENNE,2,300g,1 acheté = 10% de remise
Haricots rouges Origine France D'AUCY,1,250g,1 acheté = 15% de remise
Gros sel de Guérande LE GUERANDAIS,1,Quantité non disponible,1 acheté = 25% de remise
Gressins bio au sésame NATURALINE,1,Quantité non disponible,1 acheté = 15% de remise
Biscuits apéritifs Cream Crackers JACOB'S,2,Quantité non disponible,1 acheté = 15% de remise
Sauce aux piments forts GRACE,1,Quantité non disponible,promo : 20%
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Pâte Miso Rouge Enjuku HIKARI MISO,6,300g,1 acheté = 15% de remise
Haricots beurre extra fins Bio JARDIN BIO ETIC,3,660g,1 acheté = 25% de remise
Sel 66% de sodium en moins LOSALT,2,Quantité non disponible,1 acheté = 25% de remise
Sauce Soja salée bio TANOSHI,4,200mL,1 acheté = 10% de remise
Maïs doux Bio JARDIN BIO ETIC,2,230g,1 acheté = 15% de remise
Ketchup Bio JARDIN BIO ETIC,2,500mL,1 acheté = 10% de remise
Petits pois carottes Bien cultivés D'AUCY,1,250g,1 acheté = 25% de remise
Pop corn sucré MENGUY'S,2,Quantité non disponible,le 2ème à -68%
Pop corn salé MENGUY'S,2,Quantité non disponible,le 2ème à -68%
Sauce pesto aux tomates séchées Bio SACLA,3,Quantité non disponible,le 2ème à -50%
Chips curvies BBQ sans gluten SCHAR,3,Quantité non disponible,1 acheté = 15% de remise
Miettes de Thon à la Sauce Tomate PETIT NAVIRE,2,230g,1 acheté = 15% de remise
Risotto aux champignons RISO GALLO,2,250g,1 acheté = 25% de remise
Pâtes fusilli blé complet bio GRANORO,1,Quantité non disponible,le 2ème à -50%
Pulpe de Tomates Rustica MUTTI,2,690g,1 acheté = 15% de remise
Pois chiches cuits LUSITANA,1,570g,1 acheté = 15% de remise
Lasagne sans gluten SCHAR,5,Quantité non disponible,1 acheté = 10% de remise
Mélange d'épices Marocain DUCROS,2,Quantité non disponible,1 acheté = 15% de remise
Préparation pour taboulé menthe citron TIPIAK,2,Quantité non disponible,1 acheté = 15% de remise
Plat Individuel Couscous Oriental WEIGHT WATCHERS,3,300g,promo : 20%
Plat Individuel Lieu d'Alaska au Lait de Coco WEIGHT WATCHERS,3,300g,1 acheté = 25% de remise
Plat Individuel Parmentier de Canard RAYNAL ET ROQUELAURE,3,300g,1 acheté = 15% de remise
Plat Individuel Spaghettini Bolognaise ZAPETTI,2,300g,1 acheté = 10% de remise
Pop corn maîs LEGUMOR,1,Quantité non disponible,1 acheté = 10% de remise
Nouilles instantanées saveur curry APOLLO,0,Quantité non disponible,1 acheté = 15% de remise
Polenta bio grains moyen sans gluten ALPINA SAVOIE,2,Quantité non disponible,1 acheté = 10% de remise
Pâtes gnoccheti sardi blé complet bio GRANORO,1,Quantité non disponible,le 2ème à -50%
Chips rôtisserie BRETS,1,Quantité non disponible,1 acheté = 25% de remise
Plat Individuel Pad Thaï GARBIT,3,300g,1 acheté = 15% de remise
Plat Individuel Langue de Bœuf WILLIAM SAURIN,3,285g,promo : 20%
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Plat Individuel Poulet Basquaise WILLIAM SAURIN,3,285g,1 acheté = 10% de remise
Plat Individuel Bœuf WILLIAM SAURIN,2,300g,1 acheté = 10% de remise
Plat Individuel Sauté de Veau et Légumes WILLIAM SAURIN,2,280g,1 acheté = 10% de remise
Plat Individuel Hachis Parmentier WILLIAM SAURIN,2,300g,1 acheté = 10% de remise
Plat Individuel Riz Forestière WILLIAM SAURIN,3,300g,prenez en 3 = payez en 2
Plat Individuel Potée aux Choux WILLIAM SAURIN,3,420g,1 acheté = 10% de remise
Plat Individuel Riz au Curry et Poulet WILLIAM SAURIN,3,300g,prenez en 3 = payez en 2
Plat Individuel Quinoa au Chorizo WILLIAM SAURIN,3,300g,prenez en 3 = payez en 2
Plat Individuel Porc Caramel GARBIT,2,300g,promo : 20%
Plat Individuel Poulet Tikka Massala GARBIT,3,300g,1 acheté = 10% de remise
Plat Individuel Curry Vert GARBIT,2,300g,1 acheté = 15% de remise
Plat Individuel Torsade Poulet WILLIAM SAURIN,3,300g,prenez en 3 = payez en 2
Pâté sardine/fruits de mer/thon FIDES,1,Quantité non disponible,1 acheté = 15% de remise
Nouilles Blé bœuf TANOSHI,0,85g,1 acheté = 25% de remise
"Soupe Miso Instantanée au Tofu, aux Algues et aux Champignons HIKARI MISO",3,"59,4g",1 acheté = 15% de remise
Soupe Miso Instantanée au Tofu et aux Oignons HIKARI MISO,3,"58,2g",1 acheté = 15% de remise
Shirataki Konjac nature GAYELORD HAUSER,1,160g,1 acheté = 15% de remise
Soupe Miso Instantanée au Tofu et aux Algues Wakame HIKARI MISO,3,"57,9g",1 acheté = 15% de remise
Sardines à l'Huile Végétale Piquante BON APPETIT,1,120g,1 acheté = 25% de remise
Nouilles Ramen poulet gochugaru TANOSHI,2,366g,promo : 20%
Tomates séchées PIETRO CASTELLI,3,Quantité non disponible,promo : 20%
Verveine SAMIA,2,Quantité non disponible,1 acheté = 25% de remise
Fèves Bio JARDIN BIO ETIC,2,350g,promo : 20%
Riz long grain BEN'S ORIGINAL,1,Quantité non disponible,le 2ème à -68%
Chips de banane plantain salé SAMAI,1,Quantité non disponible,promo : 20%
Cornichons balsamique LE JARDIN D'ORANTE,1,Quantité non disponible,1 acheté = 25% de remise
Chapelure Japonaise Panko KIKKOMAN,3,227g,1 acheté = 25% de remise
Nouilles Sautées Yakisoba Saveur Curry Japonais en Cup OYAKATA,2,90g,1 acheté = 10% de remise
Ravioli bœuf Bio JARDIN BIO ETIC,4,700g,promo : 20%
"Soupe velouté carotte, tomate, pomme de terre KNORR",1,30cL,1 acheté = 15% de remise
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Pâtes Nouilles CARREFOUR CLASSIC',1,1Kg,vu en catalogue
"Soupe déshydraté mouton, tomates, haricots bruns Halal KNORR",1,90g,1 acheté = 25% de remise
Champignon émincés épais sans sulfate sans additif et sans conservateur BONDUELLE,8,1380g,vu en catalogue
Mais jeune grains BONDUELLE,2,Quantité non disponible,le 2ème à -60%
Champignon Emincés sans Sulfite BONDUELLE,8,6x230g,vu en catalogue
Riz long grain BEN'S ORIGINAL,3,Quantité non disponible,le 2ème à -68%
Nouilles Blé poulet TANOSHI,0,85g,1 acheté = 15% de remise
Sardines piment d'Espelette doux CONNETABLE,2,135g,1 acheté = 10% de remise
Riz micro-ondes Bio trio au naturel 2mn CEREAL BIO,2,220g,1 acheté = 10% de remise
Plat cuisiné mezzelune all'arrabbiata Bio CEREAL BIO,2,Quantité non disponible,1 acheté = 15% de remise
Nouilles Poulet teriyaki TANOSHI,1,65g,1 acheté = 15% de remise
Nouilles Bœuf teppanyaki TANOSHI,1,65g,1 acheté = 15% de remise
Nouilles Curry épicé TANOSHI,1,65g,1 acheté = 15% de remise
Nouilles Saveur crevettes TANOSHI,1,65g,1 acheté = 10% de remise
Nouilles Bœuf Yakiniku TANOSHI,1,100g,1 acheté = 10% de remise
Pâtes Bagos Biava MILANEZA,0,Quantité non disponible,promo : 20%
Chair de crabe NAUTILUS,2,Quantité non disponible,1 acheté = 10% de remise
Tagliatelles Konjacs GAYELORD HAUSER,1,160g,1 acheté = 15% de remise
Sardines citron-basilic s/huile CONNETABLE,1,140g,1 acheté = 10% de remise
Soupe déshydratée curry YUM YUM,2,Quantité non disponible,promo : 20%
Moutarde Forte AMORA,1,185g,1 acheté = 15% de remise
"Mayonnaise Forte, Avec Huile De Colza LESIEUR",2,425g,1 acheté = 10% de remise
Mayonnaise de Dijon 5 ingrédients AMORA,2,375g,1 acheté = 25% de remise
Semoule de blé moyenne LE RENARD,2,Quantité non disponible,le 2ème à -40%
Moutarde Mi-forte AMORA,2,260g,1 acheté = 15% de remise
Sauce aigre-douce SUZI WAN,1,Quantité non disponible,1 acheté = 15% de remise
Pâtes Quadrotto N°88 LA MOLISANA,1,Quantité non disponible,prenez en 3 = payez en 2
Pâtes torsettes aux œufs frais LUSTUCRU,2,4x250g,promo : 34%
Pâtes Scialatielli N°109 LA MOLISANA,1,Quantité non disponible,prenez en 3 = payez en 2
Pâtes Trighetto N°333 LA MOLISANA,1,Quantité non disponible,prenez en 3 = payez en 2
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Pâtes Radiatori N°73 LA MOLISANA,1,Quantité non disponible,prenez en 3 = payez en 2
Pâtes Penne Rigate complet N°20 LA MOLISANA,1,Quantité non disponible,prenez en 3 = payez en 2
Cornichons aigres-doux paysanne Bio KUHNE,3,670g,promo : 20%
Pâtes Cubetto N°63 LA MOLISANA,1,Quantité non disponible,prenez en 3 = payez en 2
Pate farfalle rigate MOLISANA,1,Quantité non disponible,prenez en 3 = payez en 2
Sauce aux poivrons et fromages CASTELLI,2,Quantité non disponible,le 2ème à -60%
Pate orecchiette pugliesi MOLISANA,1,Quantité non disponible,prenez en 3 = payez en 2
Pâtes Penne rigate CARREFOUR CLASSIC',1,1Kg,le 2ème à -30%
Tomate cerise LA MOLISANA,1,Quantité non disponible,prenez en 3 = payez en 2
Pâtes spaghetti bio GRANORO,1,Quantité non disponible,le 2ème à -50%
Pâtes maccheroncini bio de blé complet GRANORO,1,Quantité non disponible,le 2ème à -50%
Riz spécial sushis GRAND BADON,3,1kg,promo : 20%
Cocos roses LEGUMOR,3,Quantité non disponible,1 acheté = 15% de remise
Ail semoule DUCROS,7,Quantité non disponible,1 acheté = 15% de remise
Soupe déshydraté tomate et riz KNORR,1,74g,1 acheté = 25% de remise
Biscuits apéritifs fines chips de pain grillé goût bacon Rolls BELIN,1,150 g,1 acheté = 10% de remise
"Soupe déshydraté vermicelles, volaille, poulet MAGGI",1,65g,1 acheté = 10% de remise
Pâtes Pipe Rigate CARREFOUR,1,1Kg,le 2ème à -30%
Riz long grain BEN'S ORIGINAL,3,Quantité non disponible,le 2ème à -68%
Biscuits apéritifs gout fromage Croustilles Stars BELIN,1,90 g,promo : 20%
Bouillon volaille sel réduit MAGGI,2,Quantité non disponible,prenez en 4 = payez en 3
Filets de maquereaux tomate/basilic SAUPIQUET,15,10x169g,vu en catalogue
"Soupe déshydraté poulet, maïs, poivrons KNORR",1,64g,1 acheté = 25% de remise
Amandes grillées à sec BENENUTS,2,105g,1 acheté = 10% de remise
Thon albacore en tranches au naturel CARREFOUR EXTRA,3,2x93g,prenez en 6 = payez en 4
Chips poulet braisé BRET'S,2,Quantité non disponible,1 acheté = 15% de remise
Petits pois carottes très fins Bio JARDIN BIO ETIC,2,420g,1 acheté = 10% de remise
Tartinades de thon poivrons & tomates PETIT NAVIRE,2,125g,1 acheté = 10% de remise
Quinoa CARREFOUR BIO,4,Quantité non disponible,prime bio
Soupe de légumes Bio CARREFOUR BIO,2,1L,prime bio
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,2,Quantité non disponible,pas de promotion
Margarine Doux Sans Huile de Palme 100% Végétal Oméga 3 ST HUBERT,2,Quantité non disponible,pas de promotion
Margarine Demi-Sel Oméga 3 Tartine et Cuisson ST HUBERT OMEGA 3,3,Quantité non disponible,pas de promotion
Gin London Dry BOMBAY SAPPHIRE,31,100cL,pas de promotion
Dry gin Vapour Infused BOMBAY SAPPHIRE,23,70cL,pas de promotion
Pâtes rustiche blé complet bio GRANORO,1,Quantité non disponible,le 2ème à -50%
Quinoa Royal tomates séchées et piment d'espelette Bio CEREAL BIO,2,Quantité non disponible,1 acheté = 10% de remise
Oignons frits KUHNE,1,Quantité non disponible,1 acheté = 25% de remise
Sauce pesto SACLA,2,Quantité non disponible,1 acheté = 25% de remise
Chips paysannes Bio CARREFOUR BIO,2,Quantité non disponible,prime bio
